Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint,Date_extraction,Box location after Extraction,Initials,Elution_volume ul,RNA_QBIT_1,RNA_QBIT_2,AVG_RNA_QBIT,Gel_image_name,Link_to_Notebook,Comments,Comments 2
MD-2-7,Tank_7,High_Temp,Control,20240815,R1,TP4,20250603,-80 top shelf,FS,80,4.6,4.6,4.6,Gel_DNA_RNA_03June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-6/,,
MD-4-11,Tank_7,High_Temp,Control,20240815,R1,TP4,20250603,-80 top shelf,FS,80,7.42,6.64,7.03,Gel_DNA_RNA_03June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-6/,,
MD-4-16,Tank_7,High_Temp,Control,20240815,R1,TP4,20250603,-80 top shelf,NC,100,12.4,14.2,13.3,Gel_DNA_RNA_03June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-03-ENCORE-DNA-RNA-Extractions.md ,,
MD-4-3,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,20250604,-80 top shelf,NC,100,11,11.4,11.2,Gel_DNA_RNA_04June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-04-ENCORE-DNA-RNA-Extractions.md ,,
MD-4-7,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,20250531,-80 top shelf,FF,80,13,12.8,12.9,Gel_DNA_RNA_31May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-31-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-5-11,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,20250531,-80 top shelf,FF,80,17,16,16.5,Gel_DNA_RNA_31May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-31-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-5-20,Tank_7,High_Temp,Control,20240815,R2,TP4,20250603,-80 top shelf,FS,80,4.8,4.78,4.79,Gel_DNA_RNA_03June2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-6/,,
MD-5-4,Tank_7,High_Temp,Control,20240815,R1,TP4,20250603,-80 top shelf,NC,100,16.4,16.6,16.5,Gel_DNA_RNA_03June2025_NC,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-03-ENCORE-DNA-RNA-Extractions.md,,
MD-5-7,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,20250531,-80 top shelf,FF,80,19.6,18.8,19.2,Gel_DNA_RNA_31May2025_FF,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/c9243fb78bd3fcc269d4aecf0918a2c3ea706042/_posts/2025-05-31-ENCORE-Priming-RNA-DNA-Extractions.md,,
MD-1-10,Tank_3,Low_pH,Control,20240815,R2,TP4,20250526,-80 top shelf,FF,80,11.2,11,11.1,Gel_DNA_RNA_26May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-26-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-13,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,20250527,-80 top shelf,FF,80,14.2,13,13.6,Gel_DNA_RNA_27May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-27-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-18,Tank_3,Low_pH,Control,20240815,R1,TP4,20250529,-80 top shelf,FF,80,17,16.8,16.9,Gel_DNA_RNA_29May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-29-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-4,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,20250526,-80 top shelf,FF,80,13.8,13.6,13.7,Gel_DNA_RNA_26May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-26-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-17,Tank_3,Low_pH,Control,20240815,R2,TP4,20250524,-80 top shelf,FF/NC,80,18.4,18,18.2,Gel_DNA_RNA_24May2025.png/ Gel_DNA_RNA_06June2025_NC1,Florence_Putnam_Lab_Notebook/_posts/2025-05-24-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook / https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-2-20,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,20250527,-80 top shelf,FF,80,19.8,19.4,19.6,Gel_DNA_RNA_27May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-27-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-21,Tank_3,Low_pH,Control,20240815,R1,TP4,20250530,-80 top shelf,FF,80,24.6,24.2,24.4,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-9,Tank_2,Low_pH,High_Temp,20240815,R2,TP3,20250530,-80 top shelf,FF,80,29.8,29.8,29.8,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-15,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,20250527,-80 top shelf,FF,80,13.8,14,13.9,Gel_DNA_RNA_27May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-27-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-21,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,20250524,-80 top shelf,FF,80,16.2,14.2,15.2,Gel_DNA_RNA_24May2025.png,Florence_Putnam_Lab_Notebook/_posts/2025-05-24-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-22,Tank_3,Low_pH,Control,20240815,R1,TP4,20250526,-80 top shelf,FF,80,12.2,11.8,12,Gel_DNA_RNA_26May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-26-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-4-24,Tank_3,Low_pH,Control,20240815,R2,TP4,20250524,-80 top shelf,FF,80,18.4,18.2,18.3,Gel_DNA_RNA_24May2025.png,Florence_Putnam_Lab_Notebook/_posts/2025-05-24-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-17,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,20250524,-80 top shelf,FF,80,15.2,14.2,14.7,Gel_DNA_RNA_24May2025.png,Florence_Putnam_Lab_Notebook/_posts/2025-05-24-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-22,Tank_3,Low_pH,Control,20240815,R1,TP4,20250530,-80 top shelf,FF,80,21.2,20.8,21,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5-25,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,20250526,-80 top shelf,FF/NC,80,-,10.6,10.6,Gel_DNA_RNA_26May2025_FF/Gel_DNA_RNA_09June2025_NC,Florence_Putnam_Lab_Notebook/_posts/2025-05-26-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook / https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,,
MD-5-3,Tank_3,Low_pH,Control,20240815,R2,TP4,20250530,-80 top shelf,FF,100,43.8,43.2,43.5,Gel_DNA_RNA_30May2025_FF,Florence_Putnam_Lab_Notebook/_posts/2025-05-30-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,REDONE,,,,,,,,,
,,,,,,,,,MD-2-25,80,too low,11.4,11.4,,,,
,,,,,,,,,MD-2-17,80,18.4,18,18.2,,,,
,,,,,,,,,MD-4-12,80,4,-,4,,,,
,,,,,,,,,MD-5-14,80,44.8,40.8,42.8,,,,
,,,,,,,,,MD-1-8,80,25.4,21.6,23.5,,,,
,,,,,,,,,MD-1-22,80,27.2,28.8,28,,,,
,,,,,,,,,MD-4-5,80,40.8,42.6,41.7,,,,
,,,,,,,,,MD-5-24,80,45.4,49.4,47.4,,,,
,,,,,,,,,MD-1-19,80,6.34,6.2,6.27,,,,
,,,,,,,,,MD-2-13,80,6.68,6.42,6.55,,,,
,,,,,,,,,MD-5-8,80,out of range too low,,,,,,
,,,,,,,,,MD-5-25,80,-,10.6,10.6,,,,
